Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<User> >::~new_allocator()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Group> >::deallocate(std::shared_ptr<Group>*, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Group> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Account> >::~new_allocator()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<Group>::_M_ptr()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<Group>::_M_addr()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<Account>::_M_ptr()
  0.00      0.00     0.00        9     0.00     0.00  __gnu_cxx::__aligned_buffer<Account>::_M_addr()
  0.00      0.00     0.00        9     0.00     0.00  User::getName[abi:cxx11]() const
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<Transaction>::~allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<Group>::allocator(std::allocator<Group> const&)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<Account>::allocator(std::allocator<Account> const&)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<std::shared_ptr<User> >::~allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::allocator<std::shared_ptr<Account> >::~allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::shared_ptr<User>::shared_ptr(std::shared_ptr<User>&&)
  0.00      0.00     0.00        9     0.00     0.00  std::shared_ptr<Account>::~shared_ptr()
  0.00      0.00     0.00        9     0.00     0.00  std::_Vector_base<Transaction, std::allocator<Transaction> >::_M_get_Tp_allocator()
